customer_id,full_name,account_age_days,kyc_status,pep_status,declared_monthly_income,device_id_count,unique_counterparties_30d,shared_ip_count,historical_avg_tx_amount,session_velocity_seconds,recent_failed_logins,risk_tier
CUST_0,Allison Hill,3175,Verified,False,1631.41,1,8,1,46.6,110,0,Low
CUST_1,Noah Rhodes,3508,Pending,False,4759.81,2,12,1,3346.66,110,0,Low
CUST_2,Angie Henderson,861,Pending,False,7214.5,3,13,2,71.4,110,0,Low
CUST_3,Daniel Wagner,1295,Verified,False,3666.38,1,8,1,678.89,110,0,Low
CUST_4,Cristian Santos,1131,Verified,False,2784.74,1,38,2,67.32,110,0,High (Network Risk)
CUST_5,Connie Lawrence,1096,Verified,False,1114.91,2,20,1,266.48,110,1,Low
CUST_6,Abigail Shaffer,3093,Verified,False,5602.17,1,2,2,121.06,110,0,Low
CUST_7,Gina Moore,1639,Verified,False,12291.99,2,2,1,434.5,110,0,Low
CUST_8,Gabrielle Davis,2170,Verified,False,2392.95,1,2,1,431.06,110,0,Low
CUST_9,Ryan Munoz,467,Verified,False,1275.65,1,18,1,55.02,110,0,Low
CUST_10,Monica Herrera,1239,Pending,False,3574.2,3,1,1,457.07,110,0,Low
CUST_11,Jamie Arnold,331,Verified,False,2988.87,1,10,1,26.74,110,0,Low
CUST_12,Lisa Hensley,1483,Verified,False,883.28,1,6,1,1975.66,110,0,Low
CUST_13,Michele Williams,2136,Verified,False,1803.19,1,2,1,254.39,110,0,Low
CUST_14,Dylan Miller,3445,Verified,False,17827.29,10,9,1,1.58,110,1,Low
CUST_15,Brian Ramirez,3172,Verified,False,774.68,2,6,1,20.85,110,0,Low
CUST_16,Holly Wood,2920,Verified,False,1494.25,1,14,1,414.3,4,1,Low
CUST_17,Derek Zuniga,131,Verified,False,1154.34,2,2,2,627.0,110,0,Low
CUST_18,Lisa Jackson,1686,Verified,False,1261.05,1,3,1,82.59,110,0,Low
CUST_19,Carla Gray,3381,Verified,False,1909.36,1,3,2,187.83,110,0,Low
CUST_20,Margaret Hawkins DDS,770,Verified,False,4667.52,2,12,1,440.74,110,1,Low
CUST_21,Patty Perez,2392,Verified,False,11032.08,2,6,5,1060.71,110,0,High (Network Risk)
CUST_22,Ethan Adams,1516,Verified,False,3653.06,1,19,1,579.28,110,0,Low
CUST_23,Tommy Walter,3486,Verified,False,1503.6,1,5,1,64.03,110,0,Low
CUST_24,Matthew Foster,2854,Verified,False,13903.77,1,8,1,1148.75,110,0,Low
CUST_25,Judy Baker,2434,Verified,False,376.7,2,24,1,5.7,110,0,Low
CUST_26,Justin Baker,1216,Verified,False,5845.8,2,1,1,97.54,110,0,Low
CUST_27,Stephanie Ross,956,Verified,False,1067.68,2,7,1,376.18,110,0,Low
CUST_28,Zachary Hicks,2325,Verified,False,2832.96,2,7,1,24.31,110,0,Low
CUST_29,Anthony Rodriguez,1185,Pending,False,5234.88,2,3,1,161.17,110,0,Low
CUST_30,Rebecca Henderson,460,Verified,False,598.62,2,6,1,340.35,110,0,Low
CUST_31,James Ferrell,3386,Failed,False,3434.59,1,9,1,46.36,110,10,Medium (Compliance)
CUST_32,Tricia Valencia,22,Pending,False,3708.85,1,4,1,197.49,110,0,Low
CUST_33,Nathan Maldonado,2301,Verified,False,12865.93,1,7,1,23.71,110,0,Low
CUST_34,Debra Davidson,748,Verified,False,45032.93,1,3,1,670.78,110,0,Low
CUST_35,Jeffrey Chavez,2905,Verified,False,630.83,2,6,1,330.3,110,0,Low
CUST_36,Sherri Baker,3633,Verified,False,12297.53,2,15,1,449.49,110,0,Low
CUST_37,Cassandra Gaines,475,Verified,False,2870.15,1,16,1,133.75,110,0,Low
CUST_38,Elizabeth Fowler,1083,Verified,False,1328.0,2,18,1,12.2,110,5,Low
CUST_39,Brittany Farmer,2559,Verified,False,4311.55,1,6,1,121.62,110,0,Low
CUST_40,Paula Moreno,2048,Verified,False,810.55,1,5,20,1976.78,110,0,High (Network Risk)
CUST_41,Fred Smith,3548,Verified,False,860.39,1,13,1,681.68,110,0,Low
CUST_42,Sherry Decker,2748,Verified,False,525.76,1,18,1,2034.4,110,0,Low
CUST_43,Anthony Humphrey,976,Failed,False,5146.59,1,7,1,161.25,110,10,Medium (Compliance)
CUST_44,Angelica Tucker,1807,Verified,False,4134.05,1,24,5,52.57,110,0,High (Network Risk)
CUST_45,Philip Cannon,190,Verified,False,1320.3,2,13,1,357.78,110,0,Low
CUST_46,John Pierce,3006,Verified,False,13678.79,1,4,1,111.26,110,0,Low
CUST_47,Shane Henderson,2735,Verified,False,1536.16,1,5,1,64.27,110,0,Low
CUST_48,Joshua Blair,3006,Pending,False,10753.53,1,7,1,11.0,110,0,Low
CUST_49,Eric Carney,563,Verified,False,3368.02,3,2,1,245.03,110,0,Low
CUST_50,Jessica Holmes,1900,Pending,False,1515.7,1,4,1,605.19,110,5,Low
CUST_51,Danny Morgan,3639,Verified,False,2657.17,2,18,20,25.86,110,0,High (Network Risk)
CUST_52,Crystal Robinson,1268,Verified,False,850.87,1,21,2,1385.5,110,0,Low
CUST_53,Mark Perez,2880,Verified,False,3702.39,1,9,2,215.83,110,0,Low
CUST_54,Shannon Jones,1529,Verified,False,3073.43,2,10,1,175.13,110,1,Low
CUST_55,Michael Lewis,3203,Pending,False,5051.54,1,5,1,23.83,110,0,Low
CUST_56,Timothy Duncan,3557,Verified,False,7180.7,2,4,1,327.42,110,0,Low
CUST_57,Richard Aguirre,647,Verified,False,3346.32,1,11,2,26.34,110,0,Low
CUST_58,Brent Jordan,2069,Verified,False,681.08,2,5,1,35.43,110,5,Low
CUST_59,John Daniel,2889,Verified,False,7573.14,2,28,2,12.08,110,0,Low
CUST_60,Victoria Garcia,2215,Verified,False,3024.99,1,10,2,8523.69,110,0,Low
CUST_61,Gerald Hensley,1298,Verified,False,448.51,1,10,1,138.06,110,0,Low
CUST_62,Connor West,2436,Verified,False,4062.75,1,3,1,59.47,110,5,Low
CUST_63,Donald Wright,601,Verified,False,4381.4,1,1,1,139.38,110,10,Low
CUST_64,Jessica Callahan,2364,Verified,False,2082.91,2,10,1,69.89,110,0,Low
CUST_65,Amber Kidd,2062,Verified,False,2445.89,1,4,1,113.44,110,1,Low
CUST_66,Tracy House,242,Verified,False,1643.75,1,16,1,259.24,110,0,Low
CUST_67,Carol Tucker,2042,Pending,False,4519.36,1,3,1,80.69,110,0,Low
